순위,영화명,변동폭
1,사바하, 0
2,증인, 0
3,극한직업, 0
4,자전차왕 엄복동,+2
5,알리타: 배틀 엔젤,-1
6,항거:유관순 이야기,+7
7,콜드 체이싱,-2
8,뺑반,-1
9,그린 북,-1
10,더 페이버릿: 여왕의 여자,-1
11,캡틴 마블,+1
12,"어쩌다, 결혼",+5
13,신데렐라:마법 반지의 비밀,-2
14,해피 데스데이 2 유,-4
15,기묘한 가족,-1
16,메리 포핀스 리턴즈, 0
17,크리드 2,-2
18,드래곤 길들이기 3, 0
19,스파이더맨: 뉴 유니버스, 0
20,로드킬,+1
21,빠삐용,+3
22,가버나움,+1
23,보헤미안 랩소디,+2
24,엽문 외전,+4
25,우상,+7
26,살인마 잭의 집,-4
27,어벤져스: 엔드게임, 0
28,말모이,-2
29,악질경찰,+2
30,돈,-1
31,칠곡 가시나들,+2
32,어스,-12
33,더 와이프,+1
34,포항,-4
35,로마, 0
36,버닝,+11
37,0.0MHz, 0
38,내안의 그놈,-2
39,퍼미션,+2
40,포제션 오브 한나 그레이스, 0
41,검은 사제들,-2
42,퓨리어스,+18
43,실화: 숨겨진 비밀,+11
44,1919 유관순,+24
45,슈퍼미니 2,+26
46,옷코는 초등학생 사장님!,+13
47,타임 워프 워,-9
48,유랑지구,-3
49,스타 이즈 본,+8
50,모험왕 블링키,-6
