순위,영화명,변동폭
1,사바하, 0
2,항거:유관순 이야기, 0
3,자전차왕 엄복동,+1
4,증인,-1
5,극한직업, 0
6,캡틴 마블, 0
7,그린 북, 0
8,"어쩌다, 결혼", 0
9,더 페이버릿: 여왕의 여자,+1
10,알리타: 배틀 엔젤,-1
11,기묘한 가족, 0
12,신데렐라:마법 반지의 비밀, 0
13,뺑반, 0
14,빠삐용,+2
15,로드킬, 0
16,가버나움,+1
17,콜드 체이싱,-3
18,드래곤 길들이기 3, 0
19,악질경찰,+2
20,보헤미안 랩소디, 0
21,우상,+3
22,해피 데스데이 2 유,-3
23,엽문 외전, 0
24,어벤져스: 엔드게임,+2
25,1919 유관순,+2
26,스파이더맨: 뉴 유니버스,-4
27,로마,+2
28,메리 포핀스 리턴즈,-3
29,돈,-1
30,슈퍼미니 2,+1
31,칠곡 가시나들,-1
32,퓨리어스,+1
33,말모이,-1
34,버닝, 0
35,살인마 잭의 집,+1
36,옷코는 초등학생 사장님!,+2
37,더 와이프,-2
38,이스케이프 룸,+2
39,0.0MHz, 0
40,타임 트랩 킬러,+3
41,월요일이 사라졌다, 0
42,크리드 2,-5
43,그때 그들,+1
44,내안의 그놈,-2
45,내가 사는 세상, 0
46,국경의 왕, 0
47,아사코,+1
48,신비한 동물들과 그린델왈드의 범죄,+55
49,아이 스틸 씨 유,+2
50,히치하이크,-2
